url;keywords1;keywords2
https://www.booking.com/hotel/fr/grand-du-loiret.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotelfrancais.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/grand-ha-tel-la-c-vaaque.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/grand-pigalle.en-gb.html?selected_currency=EUR;Superior Room Pigalle;Chambre Supérieure Pigalle
https://www.booking.com/hotel/fr/des-grands-boulevards.en-gb.html?selected_currency=EUR;Classic Double Room - Petit Boulevard;Chambre Double Classique - Petit Boulevard
https://www.booking.com/hotel/fr/petit-palace.en-gb.html?selected_currency=EUR;Double Room with Private Bathroom;Chambre Double avec Salle de Bains Privative
https://www.booking.com/hotel/fr/helussi.en-gb.html?selected_currency=EUR;Superior Double or Twin Room;Chambre Double ou Lits Jumeaux Supérieure
https://www.booking.com/hotel/fr/royal-opera.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/vingtneuf-lepic.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/aiglon.en-gb.html?selected_currency=EUR;Cosy Double Room;Chambre Double Cosy
https://www.booking.com/hotel/fr/ha-tel-ambre.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/americain-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/hotel-ami-paris.en-gb.html?selected_currency=EUR;Standard Double Room - La bonne Amie;Chambre Double Standard - La bonne Amie
https://www.booking.com/hotel/fr/andrea-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/ariane-montparnasse.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Confort
https://www.booking.com/hotel/fr/armoni-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/arvor.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/ascot.en-gb.html?selected_currency=EUR;Double Room with Bath;Chambre Double avec Baignoire
https://www.booking.com/hotel/fr/aston-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/au-coeur-des-arts-et-metiers.en-gb.html?selected_currency=EUR;Double Room with Courtyard View;Chambre Double - Vue sur Rue
https://www.booking.com/hotel/fr/prony.en-gb.html?selected_currency=EUR;Double Room with Street View;Chambre Double avec Vue sur Rue
https://www.booking.com/hotel/fr/avenir-jonquiere.en-gb.html?selected_currency=EUR;Double Room with Private Bathroom;Chambre Double avec Salle de Bains Privative
https://www.booking.com/hotel/fr/aviatic.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/b55-paris12.en-gb.html?selected_currency=EUR;Double or Twin Room;Chambre Double ou Lits Jumeaux
https://www.booking.com/hotel/fr/bachaumont.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/hotelbaldi.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/bastille-speria.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/baudelaire-opera.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/beaubourg.en-gb.html?selected_currency=EUR;Classic Double Room;Chambre Double Classique
https://www.booking.com/hotel/fr/beaugrenelletoureiffel.en-gb.html?selected_currency=EUR;Comfort Double or Twin Room;Chambre Double ou Lits Jumeaux Confort
https://www.booking.com/hotel/fr/hotel-beaurepaire.en-gb.html?selected_currency=EUR;Classic Double or Twin Room;Chambre Double ou Lits Jumeaux Classique
https://www.booking.com/hotel/fr/beausejour-paris.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/bellevue-montmartre.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/belloy.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/anjou.en-gb.html?selected_currency=EUR;Classic Queen Room;Chambre Lit Queen-Size Classique
https://www.booking.com/hotel/fr/botaniste.en-gb.html?selected_currency=EUR;Superior Double or Twin Room - Jasmin;Chambre Double ou Lits Jumeaux Supérieure - Jasmin
https://www.booking.com/hotel/fr/bourg-tibourg-paris.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/britannique-paris.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/hotelbrittanyparis.en-gb.html?selected_currency=EUR;Cosy Double;Chambre Double Confortable
https://www.booking.com/hotel/fr/cactus.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/centralsaintgermain.en-gb.html?selected_currency=EUR;Comfort Double Room;Chambre Double Confort
https://www.booking.com/hotel/fr/chabrol-opera.en-gb.html?selected_currency=EUR;Double Room;Chambre Double
https://www.booking.com/hotel/fr/champerretelysees.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
https://www.booking.com/hotel/fr/hotel-chaplain.en-gb.html?selected_currency=EUR;Classic Room;Chambre Classique
https://www.booking.com/hotel/fr/choiseul-opera.en-gb.html?selected_currency=EUR;Standard Double Room;Chambre Double Standard
